Time,,Differential Pressure (PSI),,,,Absolute Pressure,,,Temperature (degC),,,,Inputs,,
Time Stamp,Time Elapsred (hrs),Section 1,Section 2,Section 3,Section 4,Inlet,Outlet,Confining,Room,Pore,Jacket,,Temp Setpoint (deg C),Pump Setpoint (PSI),Brine Salinity (%)
34:37.0,58.95,-0.79135874,2.30242059,3.16767127,-3.74378128,1422.927029,1364.752373,1984.859763,10.15876898,9.79369456,9.11916535,,,,
39:35.3,59.03,-0.97034489,2.28736206,2.8969437,-3.39479265,1423.388098,1364.656744,1984.859763,10.1549875,9.88965705,9.14616666,,,,
44:33.5,59.11,-1.05812352,2.35549241,2.82984836,-3.29195984,1424.061601,1364.57002,1984.859763,10.14702268,9.51384772,9.15835116,,,,
49:31.7,59.20,-1.37671189,2.53654361,2.88155266,-3.49301872,1424.723468,1364.459262,1984.859763,10.1796483,9.94086038,9.21378051,,,,
54:30.0,59.28,-1.59090235,2.55260939,3.06644431,-3.70912807,1425.401349,1364.392341,1984.859763,10.17487844,9.45616022,9.14620912,,,,
59:28.2,59.36,-1.65226324,2.64452846,3.20245894,-3.86633827,1426.310704,1364.411967,1984.859763,10.20773708,9.25786295,9.12096946,,,,
04:26.4,59.44,-1.95973366,2.57135118,3.66870214,-4.28691854,1427.039382,1364.38152,1984.859763,10.21153189,9.00193398,9.10080451,,,,
09:24.7,59.53,-2.4007913,2.51278329,3.70984128,-4.37061107,1427.634065,1364.318455,1984.859763,10.25057001,9.97160567,9.18484719,,,,
14:22.9,59.61,-2.90262479,2.58838212,4.18922886,-4.79899282,1428.433255,1364.283536,1984.859763,10.22924073,10.08596527,9.24524318,,,,
19:21.1,59.69,-3.01935361,2.72008512,5.03082972,-5.77247376,1429.329772,1364.459363,1984.859763,10.13533427,9.14280714,9.23299539,,,,
24:19.4,59.78,-2.83817592,2.65940978,5.48013689,-6.20519817,1429.953553,1364.444366,1984.859763,10.12729457,10.4837454,9.1348332,,,,
29:17.6,59.86,-3.17303466,2.54899339,5.85430682,-6.45189002,1430.738352,1364.702888,1984.859763,10.17631763,9.81621686,9.13775837,,,,
34:15.9,59.94,-3.42060032,2.53484641,5.01168516,-5.66293456,1431.285315,1365.053303,1984.859763,10.17015423,9.41809678,9.1555904,,,,
39:14.2,60.02,-3.17244997,2.56906731,5.12055346,-5.75163725,1432.053709,1365.509858,1984.859763,10.18127369,10.01526067,9.07188224,,,,
44:12.5,60.11,-3.11306724,2.68464231,5.61749255,-6.3444393,1432.825985,1366.05778,1984.859763,10.15117333,9.70802287,9.15532305,,,,
49:10.7,60.19,-3.45347748,2.76898844,5.7900782,-6.62189636,1433.606672,1366.558962,1984.859763,10.1352837,10.06028878,9.22082098,,,,
54:09.0,60.27,-4.14986422,3.0351147,6.90721605,-7.79761854,1434.733126,1367.26973,1984.859763,10.08247432,9.34259851,9.27241034,,,,
59:07.3,60.36,-4.70574297,2.82021838,7.58715459,-8.38363087,1435.556101,1367.850646,1984.859763,10.10057428,9.68532988,9.19466155,,,,
04:05.6,60.44,-4.44543634,2.3889092,6.90786524,-7.54173424,1436.11806,1368.579914,1984.859763,10.24655134,10.32634871,9.13908347,,,,
09:03.9,60.52,-2.30635115,2.14861333,5.16415985,-5.59339982,1436.259861,1369.247612,1984.859763,10.18077815,9.045378,9.14517219,,,,
14:02.2,60.60,-2.1499538,2.53625601,5.11346202,-5.69671866,1437.247543,1369.724421,1984.859763,10.19601585,9.97244203,9.16469829,,,,
19:00.6,60.69,-1.89455412,2.63982204,5.46679411,-6.09078039,1438.128212,1370.075205,1984.859763,10.14648415,8.8262056,9.14384944,,,,
23:58.9,60.77,-0.73854369,1.73497382,2.74299968,-3.0513965,1437.902608,1370.523172,1984.859763,10.15804216,10.16513209,9.17624451,,,,
28:57.3,60.85,-1.04904194,2.07807893,1.78811767,-2.11658081,1438.442656,1370.908196,1984.859763,10.1241887,9.56207197,9.32404167,,,,
33:55.7,60.94,-1.26231023,2.21072847,1.69041259,-2.01294785,1438.928731,1371.049099,1984.859763,10.16728184,8.72550001,9.17270463,,,,
38:54.0,61.02,-1.49265944,2.33260539,1.57678115,-2.0583262,1439.464782,1371.213164,1984.859763,10.21176776,8.5335703,9.26813667,,,,
43:52.4,61.10,-1.41260555,2.25954028,1.70566586,-2.13039558,1440.004678,1371.292905,1984.859763,10.16925178,9.84154929,9.14959648,,,,
48:50.7,61.18,-1.55442598,2.25123244,1.76669872,-2.15053791,1440.545998,1371.227419,1984.859763,10.24335649,9.47985675,9.13075142,,,,
53:49.1,61.27,-1.96693291,2.26956603,1.76897869,-2.19653435,1441.069083,1371.218291,1984.859763,10.18463349,9.99512686,9.19411959,,,,
58:47.4,61.35,-2.22387318,2.50966208,1.56962951,-2.2469624,1441.458388,1371.02423,1984.859763,10.19213538,8.94008326,9.19343269,,,,
03:45.8,61.43,-2.45059486,2.52391337,1.65218154,-2.36038856,1441.959058,1370.986176,1984.859763,10.13984176,10.69209761,9.11010462,,,,
08:44.1,61.52,-2.79193982,2.46830078,1.78997688,-2.41595778,1442.325633,1370.808165,1984.859763,10.10211885,10.00331643,9.10148993,,,,
13:42.5,61.60,-3.2215522,2.21754751,2.11965711,-2.47632158,1442.778486,1370.641702,1984.859763,10.11803688,9.68136356,9.09232387,,,,
