4140000,  5250,   867, -1015,  6522, -2846, -1235,  -734,  1165,11111001, 0000000000,0251300142,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
4200000,  5250,   867, -1015,  6522, -2846, -1236,  -734,  1165,11111001, 0000000000,0251300125,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
4260000,  5250,   867, -1015,  6522, -2846, -1235,  -735,  1164,11111001, 0000000000,0251300109,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
4320000,  5250,   867, -1015,  6523, -2847, -1236,  -735,  1164,11111001, 0000838070,0251279257,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000838070,  5250,0000000000,
4380000,  5250,   867, -1015,  6523, -2847, -1236,  -735,  1164,11111001, 0000000000,0251269529,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
4440000,  5250,   867, -1015,  6523, -2846, -1236,  -735,  1164,11111001,-0000059860,0251260068,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N,-0000059860,  5250,0000000000,
4500000,  5250,   867, -1015,  6523, -2846, -1237,  -734,  1163,11111001, 0001975450,0251253034,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0001975450,  5250,0000000000,
4560000,  5250,   867, -1015,  6523, -2847, -1236,  -735,  1164,11111001, 0000000000,0251216218,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
4620000,  5250,   867, -1015,  6523, -2847, -1237,  -735,  1163,11111001, 0000000000,0251209018,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
4680000,  5250,   867, -1015,  6523, -2847, -1237,  -735,  1164,11111001, 0000059860,0251175279,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000059860,  5250,0000000000,
